file_name,check,status,cell_stage,frag_percentage,pn_number
MTL-0245-1223-AE2B_P5_FP5_EH066-EM01-ES00.jpg,T,,8.0,1.79,
MTL-0245-1223-AE2B_P5_FP5_EH062-EM50-ES59.jpg,T,,8.0,2.7,
MTL-0245-1223-AE2B_P5_FP5_EH035-EM10-ES59.jpg,T,,2.0,0.0,
MTL-0245-1223-AE2B_P5_FP5_EH060-EM31-ES00.jpg,T,,8.0,0.8,
MTL-0245-1223-AE2B_P5_FP5_EH082-EM32-ES50.jpg,T,,8.0,0.0,
MTL-0245-1223-AE2B_P5_FP5_EH058-EM40-ES59.jpg,T,,6.0,0.0,
MTL-0245-1223-AE2B_P5_FP5_EH044-EM20-ES59.jpg,T,,4.0,0.0,
MTL-0245-1223-AE2B_P5_FP5_EH038-EM20-ES59.jpg,T,,2.0,0.0,
MTL-0245-1223-AE2B_P5_FP5_EH068-EM51-ES03.jpg,T,,8.0,1.08,
MTL-0245-1223-AE2B_P5_FP5_EH114-EM02-ES51.jpg,T,,morula,2.09,
MTL-0245-1223-AE2B_P5_FP5_EH052-EM01-ES00.jpg,T,,4,0.5700000000000001,
MTL-0245-1223-AE2B_P5_FP5_EH078-EM22-ES50.jpg,T,,8,0.0,
MTL-0245-1223-AE2B_P5_FP5_EH071-EM11-ES03.jpg,T,,8,1.1,
MTL-0245-1223-AE2B_P5_FP5_EH021-EM20-ES59.jpg,T,,pn,0.0,2.0
MTL-0245-1223-AE2B_P5_FP5_EH042-EM11-ES00.jpg,T,,3,1.81,
MTL-0245-1223-AE2B_P5_FP5_EH017-EM30-ES59.jpg,T,,pn,0.0,2.0
MTL-0245-1223-AE2B_P5_FP5_EH037-EM20-ES59.jpg,T,,2,0.0,
MTL-0245-1223-AE2B_P5_FP5_EH043-EM20-ES59.jpg,T,,4,0.0,
MTL-0245-1223-AE2B_P5_FP5_EH019-EM20-ES59.jpg,T,,pn,0.0,2.0
MTL-0245-1223-AE2B_P5_FP5_EH049-EM00-ES59.jpg,T,,4,0.0,
MTL-0245-1223-AE2B_P5_FP5_EH113-EM52-ES51.jpg,T,,morula,0.0,
MTL-0245-1223-AE2B_P5_FP5_EH098-EM22-ES51.jpg,T,,8,0.0,
MTL-0245-1223-AE2B_P5_FP5_EH094-EM02-ES51.jpg,T,,8,1.47,
MTL-0245-1223-AE2B_P5_FP5_EH043-EM50-ES59.jpg,T,,4,0.0,
MTL-0245-1223-AE2B_P5_FP5_EH007-EM50-ES59.jpg,T,,pn,0.0,0.0
MTL-0245-1223-AE2B_P5_FP5_EH050-EM10-ES59.jpg,T,,4,0.0,
MTL-0245-1223-AE2B_P5_FP5_EH075-EM02-ES50.jpg,T,,8,0.0,
MTL-0245-1223-AE2B_P5_FP5_EH020-EM30-ES59.jpg,T,,pn,0.0,2.0
MTL-0245-1223-AE2B_P5_FP5_EH016-EM40-ES59.jpg,T,,pn,0.0,1.0
MTL-0245-1223-AE2B_P5_FP5_EH033-EM10-ES59.jpg,T,,2,0.0,
MTL-0245-1223-AE2B_P5_FP5_EH110-EM12-ES51.jpg,T,,morula,0.0,
MTL-0245-1223-AE2B_P5_FP5_EH080-EM22-ES50.jpg,T,,8,0.0,
MTL-0245-1223-AE2B_P5_FP5_EH080-EM12-ES50.jpg,T,,8,0.0,
MTL-0245-1223-AE2B_P5_FP5_EH040-EM30-ES59.jpg,T,,3,0.0,
MTL-0245-1223-AE2B_P5_FP5_EH110-EM02-ES51.jpg,T,,morula,0.03,
MTL-0245-1223-AE2B_P5_FP5_EH040-EM00-ES59.jpg,T,,3,0.0,
MTL-0245-1223-AE2B_P5_FP5_EH090-EM02-ES50.jpg,T,,8,1.2,
MTL-0245-1223-AE2B_P5_FP5_EH065-EM21-ES00.jpg,T,,7,0.0,
MTL-0245-1223-AE2B_P5_FP5_EH065-EM51-ES00.jpg,T,,7,1.2,
MTL-0245-1223-AE2B_P5_FP5_EH032-EM10-ES59.jpg,T,,2,0.0,
MTL-0245-1223-AE2B_P5_FP5_EH072-EM22-ES50.jpg,T,,8,0.0,
MTL-0245-1223-AE2B_P5_FP5_EH106-EM42-ES51.jpg,T,,morula,0.0,
MTL-0245-1223-AE2B_P5_FP5_EH033-EM50-ES59.jpg,T,,2,0.0,
MTL-0245-1223-AE2B_P5_FP5_EH024-EM50-ES59.jpg,T,,pn,1.04,0.0
MTL-0245-1223-AE2B_P5_FP5_EH108-EM52-ES51.jpg,T,,morula,0.0,
MTL-0245-1223-AE2B_P5_FP5_EH017-EM40-ES59.jpg,T,,pn,1.14,2.0
MTL-0245-1223-AE2B_P5_FP5_EH027-EM40-ES59.jpg,T,,pn,0.0,0.0
MTL-0245-1223-AE2B_P5_FP5_EH064-EM51-ES00.jpg,T,,8,0.89,
MTL-0245-1223-AE2B_P5_FP5_EH013-EM30-ES59.jpg,T,,pn,0.0,2.0
MTL-0245-1223-AE2B_P5_FP5_EH069-EM21-ES03.jpg,T,,8,1.77,
MTL-0245-1223-AE2B_P5_FP5_EH023-EM40-ES59.jpg,T,,pn,0.0,2.0
MTL-0245-1223-AE2B_P5_FP5_EH025-EM30-ES59.jpg,T,,pn,0.0,0.0
MTL-0245-1223-AE2B_P5_FP5_EH069-EM01-ES03.jpg,T,,8,1.0,
MTL-0245-1223-AE2B_P5_FP5_EH015-EM20-ES59.jpg,T,,pn,0.0,1.0
MTL-0245-1223-AE2B_P5_FP5_EH109-EM12-ES51.jpg,T,,morula,3.46,
MTL-0245-1223-AE2B_P5_FP5_EH111-EM52-ES51.jpg,T,,morula,0.0,
MTL-0245-1223-AE2B_P5_FP5_EH018-EM30-ES59.jpg,T,,pn,1.17,2.0
MTL-0245-1223-AE2B_P5_FP5_EH057-EM41-ES00.jpg,T,,5,1.35,
MTL-0245-1223-AE2B_P5_FP5_EH025-EM20-ES59.jpg,T,,pn,0.0,0.0
MTL-0245-1223-AE2B_P5_FP5_EH053-EM11-ES00.jpg,T,,4,0.0,
MTL-0245-1223-AE2B_P5_FP5_EH091-EM22-ES50.jpg,T,,8,0.0,
MTL-0245-1223-AE2B_P5_FP5_EH107-EM32-ES51.jpg,T,,morula,0.72,
MTL-0245-1223-AE2B_P5_FP5_EH061-EM31-ES00.jpg,T,,8,1.65,
MTL-0245-1223-AE2B_P5_FP5_EH104-EM32-ES50.jpg,T,,morula,0.0,
MTL-0245-1223-AE2B_P5_FP5_EH030-EM00-ES59.jpg,T,,2,0.0,
